,date,pair,coin,profit_ex_cost,volume_maker,volume_taker,volume,fee_maker,fee_taker,fee_total,profit,margin
3,2022-08-01,BTC_0,DERI:BTC-USD,-2.353016276472302,8210.0,3010.0,11220.0,-0.821,1.505,0.6839999999999999,-3.0370162764723023,-2.7067881251981305
4,2022-08-02,BTC_1,DERI:BTC-USD,-0.9878719422220243,8250.0,4250.0,12500.0,-0.825,2.125,1.3,-2.2878719422220244,-1.8302975537776194
2,2022-08-03,BTC_2,DERI:BTC-USD,1.0882361584857145,6900.0,2850.0,9750.0,-0.69,1.425,0.7350000000000001,0.35323615848571444,0.36229349588278403
14,2022-08-04,BTC_3,DERI:BTC-USD,1.486812383528513,7600.0,2850.0,10450.0,-0.76,1.425,0.665,0.8218123835285129,0.7864233335201082
16,2022-08-05,BTC_4,DERI:BTC-USD,-1.6737152287205777,9800.0,3800.0,13600.0,-0.98,1.9,0.9199999999999999,-2.5937152287205776,-1.9071435505298366
12,2022-08-06,BTC_5,DERI:BTC-USD,-0.4491227610460907,3600.0,500.0,4100.0,-0.36,0.25,-0.10999999999999999,-0.33912276104609074,-0.8271286854782701
21,2022-08-07,BTC_6,DERI:BTC-USD,-0.11295018434253472,4300.0,1100.0,5400.0,-0.43,0.55,0.12000000000000005,-0.23295018434253478,-0.4313892302639533
6,2022-08-08,BTC_7,DERI:BTC-USD,-1.8490194171430303,4950.0,3050.0,8000.0,-0.495,1.525,1.0299999999999998,-2.87901941714303,-3.598774271428787
19,2022-08-09,BTC_8,DERI:BTC-USD,2.3952240380071452,4200.0,1600.0,5800.0,-0.42,0.8,0.38000000000000006,2.0152240380071453,3.4745242034605957
0,2022-08-10,BTC_9,DERI:BTC-USD,3.200039805286108,9500.0,7250.0,16750.0,-0.95,3.625,2.675,0.525039805286108,0.3134566001708108
11,2022-08-11,BTC_10,DERI:BTC-USD,2.0861837379830948,8200.0,4200.0,12400.0,-0.82,2.1,1.2800000000000002,0.8061837379830945,0.6501481757928183
20,2022-08-12,BTC_11,DERI:BTC-USD,0.529134023116752,4250.0,1300.0,5550.0,-0.425,0.65,0.22500000000000003,0.3041340231167519,0.5479892308409945
5,2022-08-13,BTC_12,DERI:BTC-USD,-0.12522493236493573,5450.0,1000.0,6450.0,-0.545,0.5,-0.04500000000000004,-0.08022493236493569,-0.1243797401006755
10,2022-08-14,BTC_13,DERI:BTC-USD,-1.4052926799806604,4810.0,1510.0,6320.0,-0.481,0.755,0.274,-1.6792926799806605,-2.657108670855475
1,2022-08-15,BTC_14,DERI:BTC-USD,-1.1874986805631067,6400.0,3900.0,10300.0,-0.64,1.95,1.31,-2.4974986805631065,-2.4247560005467053
8,2022-08-16,BTC_15,DERI:BTC-USD,1.2768386829882248,3150.0,950.0,4100.0,-0.315,0.475,0.15999999999999998,1.1168386829882249,2.723996787776158
15,2022-08-17,BTC_16,DERI:BTC-USD,-0.08210439496251021,6850.0,5200.0,12050.0,-0.685,2.6,1.915,-1.9971043949625102,-1.6573480456120417
18,2022-08-18,BTC_17,DERI:BTC-USD,0.48015434692773973,1500.0,200.0,1700.0,-0.15,0.1,-0.04999999999999999,0.5301543469277397,3.11855498192788
13,2022-08-19,BTC_18,DERI:BTC-USD,-12.14678861641007,16050.0,13250.0,29300.0,-1.605,6.625,5.02,-17.16678861641007,-5.858972224030741
7,2022-08-20,BTC_19,DERI:BTC-USD,2.1549074825455863,13800.0,3650.0,17450.0,-1.38,1.825,0.44500000000000006,1.7099074825455862,0.9798896748112242
17,2022-08-21,BTC_20,DERI:BTC-USD,-1.0828215636543015,9000.0,2700.0,11700.0,-0.9,1.35,0.45000000000000007,-1.5328215636543017,-1.3101039005592323
9,2022-08-22,BTC_21,DERI:BTC-USD,3.5273212642643745,4400.0,3100.0,7500.0,-0.44,1.55,1.11,2.417321264264374,3.2230950190191656
